id;description;username;done_date;is_done
1;Officer payment Afghani;Alaska Cotton;2020-02-12;true
2;payment;Tools yellow deliver;2020-02-13;false
3;deploy;killer Serbia bandwidth;2020-02-13;true
4;Bedfordshire;whiteboard;2020-02-12;true
5;Tasty Metal Towels program Home Loan Account;synthesize budgetary management;2020-02-12;true
6;Soft Operative;Meadows;2020-02-12;true
7;Program;SDR;2020-02-12;true
8;open-source payment;Fresh Peru;2020-02-13;true
9;data-warehouse;Avon leverage content-based;2020-02-13;false
10;parsing mobile Incredible Concrete Bike;Global;2020-02-12;false
